,Event ID,Fight Number,Fight ID,Weight Class,Card Segment,Referee,Rounds,Result Type,Winner ID
212,133,7,1529,Catch Weight,Prelims,Daniel Movahedi,3,Scrambled,140000156.0
213,133,8,1528,Lightweight,Prelims,Marc Goddard,3,Scrambled,140000100.0
214,133,9,1527,Bantamweight,Prelims,Daniel Movahedi,3,Scrambled,140000735.0
215,133,10,1526,Bantamweight,Prelims,Herb Dean,3,Scrambled,140000946.0
216,133,11,1525,Lightweight,Prelims,Daniel Movahedi,3,Scrambled,140000286.0
217,133,12,1524,Heavyweight,Prelims,Rich Mitchell,3,Scrambled,140000324.0
218,134,1,1484,Middleweight,Main Card,Herb Dean,5,Scrambled,140000630.0
219,134,2,1542,Light Heavyweight,Main Card,Marc Goddard,3,Scrambled,140000819.0
220,134,3,1540,Heavyweight,Main Card,Herb Dean,3,Scrambled,140000720.0
221,134,4,1547,Women's Strawweight,Main Card,Rich Mitchell,3,Scrambled,140000296.0
222,134,5,1550,Light Heavyweight,Main Card,Marc Goddard,3,Scrambled,140000238.0
223,134,6,1541,Welterweight,Main Card,Daniel Movahedi,3,Scrambled,140000306.0
224,134,7,1555,Welterweight,Main Card,Rich Mitchell,3,Scrambled,140000941.0
225,134,8,1549,Lightweight,Prelims,Herb Dean,3,Scrambled,140000486.0
226,134,9,1539,Welterweight,Prelims,Marc Goddard,3,Scrambled,140000944.0
227,134,10,1483,Heavyweight,Prelims,Daniel Movahedi,3,Scrambled,140000892.0
228,134,11,1537,Featherweight,Prelims,Marc Goddard,3,Scrambled,140000277.0
229,134,12,1538,Heavyweight,Prelims,Herb Dean,3,Scrambled,140000638.0
230,134,13,1536,Women's Bantamweight,Prelims,Rich Mitchell,3,Scrambled,140000438.0
231,134,14,1534,Welterweight,Prelims,Daniel Movahedi,3,Scrambled,140000738.0
232,134,15,1535,Bantamweight,Prelims,Marc Goddard,3,Scrambled,140000191.0
233,136,1,1506,Middleweight,Main Card,Herb Dean,3,Scrambled,140000329.0
234,136,2,1571,Women's Flyweight,Main Card,Jason Herzog,3,Scrambled,140000205.0
235,136,3,1570,Welterweight,Main Card,Mark Smith,3,Scrambled,140000089.0
236,136,4,1569,Lightweight,Main Card,Herb Dean,3,Scrambled,140000649.0
237,136,5,1505,Bantamweight,Prelims,Chris Tognoni,3,Scrambled,140000054.0
238,136,6,1597,Featherweight,Prelims,Mark Smith,3,Scrambled,140000961.0
239,136,7,1564,Featherweight,Prelims,Jason Herzog,3,Scrambled,140000783.0
240,136,8,1572,Bantamweight,Prelims,Chris Tognoni,3,Scrambled,
241,141,1,1584,Heavyweight,Main Card,Herb Dean,5,Scrambled,140000173.0
242,141,2,1596,Middleweight,Main Card,Jason Herzog,3,Scrambled,140000639.0
243,141,3,1595,Middleweight,Main Card,Chris Tognoni,3,Scrambled,140000392.0
