,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME,,SUM  Pre COVID,,SUM During COVID,
Pre_COVID,WIN,Luis Pena,0,27,0,1,Lightweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Steve Garcia,0,21,1,1,,,,,,,,,
Pre_COVID,WIN,Jordan Griffin,0,15,0,3,Featherweight,SUB,2,3:38,,,,,
Pre_COVID,,TJ Brown,0,32,7,0,,Guillotine Choke,,,,,,,
Pre_COVID,WIN,Spike Carlyle,0,20,0,0,Featherweight,KO/TKO,1,1:25,,,,,
Pre_COVID,,Aalon Cruz,0,2,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Sean Brady,0,47,4,1,Welterweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Ismail Naurdiev,0,37,0,0,,,,,,,,,
Pre_COVID,WIN,Israel Adesanya,0,48,0,0,Middleweight,U-DEC,5,5:00,,,,,
Pre_COVID,,Yoel Romero,0,40,0,0,,,,,,,,,
Pre_COVID,WIN,Zhang Weili,0,165,1,0,Women's Strawweight,S-DEC,5,5:00,,,,,
Pre_COVID,,Joanna Jedrzejczyk,0,186,0,0,,,,,,,,,
Pre_COVID,WIN,Beneil Dariush,1,12,1,2,Lightweight,KO/TKO,2,1:00,,,,,
Pre_COVID,,Drakkar Klose,0,15,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Neil Magny,0,74,4,0,Welterweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Li Jingliang,0,16,2,0,,,,,,,,,
Pre_COVID,WIN,Alex Oliveira,0,40,1,0,Welterweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Max Griffin,0,23,2,0,,,,,,,,,
Pre_COVID,WIN,Sean O'Malley,0,18,0,0,Bantamweight,KO/TKO,1,2:02,,,,,
Pre_COVID,,Jose Quinonez,0,0,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Mark Madsen,0,15,8,0,Lightweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Austin Hubbard,0,41,0,0,,,,,,,,,
