Pre COVID,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME
,WIN,Ariane Lipski,0,3,0,1,Women's Flyweight,SUB,1,1:28
,,Luana Carolina,0,2,0,1,,Kneebar,,
,WIN,Askar Askarov,0,41,2,0,Flyweight,U-DEC,3,5:00
,,Alexandre Pantoja,0,32,1,0,,,,
,WIN,Roman Dolidze,1,19,0,0,Light Heavyweight,KO/TKO,1,4:15
,,Khadis Ibragimov,0,4,0,0,,Kick,,
,WIN,Grant Dawson,0,53,2,1,Catch Weight,U-DEC,3,5:00
,,Nad Narimani,0,31,0,0,,,,
,WIN,Joel Alvarez,0,18,0,1,Lightweight,SUB,1,2:25
,,Joe Duffy,0,14,1,0,,Guillotine Choke,,
,WIN,Brett Johns,0,11,8,1,Bantamweight,U-DEC,3,5:00
,,Montel Jackson,1,26,2,0,,,,
,WIN,Amir Albazi,0,12,1,1,Bantamweight,SUB,1,4:42
,,Malcolm Gordon,0,3,0,0,,Triangle Choke,,
,WIN,Arman Tsarukyan,0,91,1,0,Lightweight,U-DEC,3,5:00
,,Davi Ramos,0,33,0,0,,,,
,WIN,Serghei Spivac,0,73,3,0,Heavyweight,M-DEC,3,5:00
,,Carlos Felipe,0,44,0,0,,,,
,WIN,Robert Whittaker,1,69,2,0,Middleweight,U-DEC,5,5:00
,,Darren Till,0,41,0,0,,,,
,WIN,Mauricio Rua,0,54,2,0,Light Heavyweight,S-DEC,3,5:00
,,Rogerio Nogueira,0,46,0,0,,,,
,WIN,Fabricio Werdum,0,4,1,1,Heavyweight,SUB,1,2:30
,,Alexander Gustafsson,0,11,0,0,,Armbar,,
,WIN,Carla Esparza,0,33,5,1,Women's Strawweight,S-DEC,3,5:00
,,Marina Rodriguez,0,40,0,0,,,,
,WIN,Paul Craig,0,2,0,1,Light Heavyweight,SUB,1,2:06
,,Gadzhimurad Antigulov,0,11,1,0,,Triangle Choke,,
,WIN,Alex Oliveira,1,45,0,0,Welterweight,U-DEC,3,5:00
,,Peter Sobotta,0,29,0,0,,,,
,WIN,Khamzat Chimaev,0,40,1,1,Welterweight,KO/TKO,1,3:09
,,Rhys McKee,0,0,0,0,,Punches,,
,WIN,Francisco Trinaldo,1,30,2,2,Lightweight,KO/TKO,3,1:30
,,Jai Herbert,1,21,0,0,,Punch,,
,NC,Nicolas Dalby,0,20,0,0,Welterweight,Overturned,1,2:48
,NC,Jesse Ronson,1,30,0,1,,Rear Naked Choke,,
,WIN,Tom Aspinall,1,10,0,0,Heavyweight,KO/TKO,1,0:45
,,Jake Collier,0,3,0,0,,Punches,,
,WIN,Movsar Evloev,0,79,0,0,Featherweight,U-DEC,3,5:00
,,Mike Grundy,0,20,6,1,,,,
,WIN,Tanner Boser,0,43,0,0,Heavyweight,KO/TKO,2,2:36
,,Raphael Pessoa,0,12,0,0,,Punch,,
